epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,13191.7,0.39111,1.82886,0.15697,0.21828,0.00842,0.6849,0.98277,0.97883,0.98641,0.9409,0.84631,0.83935,0.85189,0.72641,0.30525,1.80882,0.18231,0.18915,0.01247,0,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,13409.8,0.38227,1.84348,0.15656,0.21681,0.0082,0.67092,0.98048,0.98007,0.98705,0.94173,0.8671,0.81849,0.85362,0.72478,0.30467,1.82535,0.18215,0.19298,0.01244,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,13627.8,0.38309,1.79691,0.15545,0.2133,0.00821,0.58269,0.98291,0.9807,0.98691,0.94178,0.8664,0.82373,0.85497,0.73065,0.3028,1.81361,0.18163,0.18962,0.01235,0,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,13845.9,0.38561,1.76663,0.15403,0.2146,0.0082,0.47534,0.98473,0.97727,0.98692,0.94319,0.86298,0.82946,0.85463,0.73175,0.30372,1.79941,0.18112,0.18546,0.01238,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,14063.9,0.37539,1.77455,0.15351,0.21096,0.00803,0.49549,0.98394,0.97914,0.98691,0.94414,0.87651,0.82422,0.85905,0.73288,0.30245,1.7974,0.18056,0.18457,0.01234,0,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,14282.1,0.38121,1.80418,0.15287,0.21555,0.00816,0.49137,0.98586,0.97674,0.98699,0.9441,0.85132,0.8414,0.85775,0.73069,0.30098,1.78626,0.18005,0.185,0.01226,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,14500,0.37798,1.78961,0.15239,0.21709,0.00808,0.5123,0.98365,0.97634,0.98614,0.94381,0.85571,0.83655,0.85309,0.72757,0.29935,1.7911,0.17965,0.18677,0.0122,0,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,14717.9,0.38738,1.75557,0.15171,0.21264,0.00829,0.49033,0.97964,0.9754,0.98648,0.94481,0.85608,0.83531,0.85244,0.72674,0.29898,1.79137,0.17949,0.18987,0.01221,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,14935.7,0.3716,1.72631,0.14985,0.21147,0.00791,0.45568,0.984,0.97644,0.98585,0.94424,0.86206,0.83032,0.85237,0.72679,0.29625,1.78802,0.17898,0.18596,0.01208,0,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,15153.9,0.37963,1.73165,0.14749,0.21454,0.00813,0.43112,0.97935,0.97883,0.98562,0.9444,0.8671,0.83281,0.85349,0.72561,0.2958,1.7769,0.17846,0.18514,0.01206,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
